NAME,RATE_PER_NIGHT,TOTAL_RATE,LINK,RATING,HOTEL_CLASS,IMAGE
Mercure Roma Corso Trieste,116 EUR,232 EUR,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3320&merchantid=seo-maps-IT-3320&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,4.3,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHN89f_rijg7TbfLZTmJp39eo2Gdxuw0QmRG1gCg6db5wZ4MGAXz2EEnLKSU9QfSfwLm1KuVQFfIt1sgbIuy305AxZIZphDSeDI3HqpDZiY0-N1qZhnDZkIxNGN_CN-37TUyLJx=s287-w287-h192-n-k-no-v1
The Building Hotel,178 EUR,356 EUR,https://www.thebuildinghotelrome.com/en/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph,4.1,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpX4h6Eh3wzmrv-yQKkMkZECJkJ2nqdsh1kliGMkOn0GJfLF7cipaUhCliQJQRcCnAU0mDEPb2zBHR_ej3BECzOu-hO1AvGZWx2EWq1fdUuzzVGwrDWoyyoOCbC2WKyEL8XHbfQ=s287-w287-h192-n-k-no-v1
Courtyard by Marriott Rome Central Park,172 EUR,345 EUR,https://www.marriott.com/en-us/hotels/romcp-courtyard-rome-central-park/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.3,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEbu7KCzk3F-zupZT0SpUR5y1JVKQBc25fogiNP9GM4lu1YeDQHKF4mjBDfANYrqRVBOxGgZKDjBrCXPXZt_dDyHhOvi2lTM18cFPmX6-rhMSzk8FTHWnoU6PYaIbl5Ee46bwtmjh1YZ7c=s287-w287-h192-n-k-no-v1
Hilton Garden Inn Rome Claridge,178 EUR,356 EUR,https://www.hilton.com/en/hotels/romrcgi-hilton-garden-inn-rome-claridge/?SEO_id=GMB-EMEA-GI-ROMRCGI,4.3,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTIw-VqAn3QqO0wk11_uS6gAF9B-aIIWrhq8WODTSQ0PUKT7tFCBzigPG8LtQOrEeWPYm8olcM8xmqR8fFhKGe0TQaN7NJmIzYiMxtuZKB_tJZdW33SxqQTf5Lg-MhgwaEq4jECow-Us8=s287-w287-h192-n-k-no-v1
Suite Sistina for Brave Lovers,136 EUR,273 EUR,https://www.suitesistina.com/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness,4.5,3-star hotel,https://lh5.googleusercontent.com/proxy/Zs-Nkh-5bowcqMiTRWn7oY3PnN9oLdVjPx8bc7Lyucbwz6Yyd40QocSRWVbTl0I0CBoWqTUaTxsrE-J2IG1aDMX8RKmZQzlRtG9E7sKcK0jQnT88JdReA0cKokq_QLT0I45I1i1Dv_sgz0yihKcIiNjlXyJ8ro4=s287-w287-h192-n-k-no-v1
Mario de' Fiori 37,174 EUR,347 EUR,https://www.mariodefiori37.top/,4.6,4-star hotel,https://lh6.googleusercontent.com/proxy/ltLoCR8dK8xAcx-q0m5ZlwtIcAN_mvuEU7lS00mVVZUiP3k_chtau-o-UrENdGb5zO_eCqpz0My7dJT8gdewePrGVjZBf76UocIt4gOnMpCnoVRTrhwE5yvza3iLMRmBxtEsVo5IBdiTgrUV1Hfn2wkJrDURdqc=s287-w287-h192-n-k-no-v1
Hotel La Ville,151 EUR,302 EUR,http://lavillerome.com/,4.7,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuK3RIZgZ1cklFVjBFzEsFCvX6XnRRh3rw-E0wsEQH12jSTAWvX1eNwfrYXr8XXJN7eoUb3ZDxraYzBY0HuCFfwxmalilFD4NiT8GllPhzOup4vbpBYeNG4K_1P5uxoylzgdt2=s287-w287-h192-n-k-no-v1
Hotel Golden,105 EUR,210 EUR,https://www.hotelgoldenrome.com/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness,4.7,2-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJcNAiKbUWYL_T-IXc46aIMbauJiJqKvza6-juRqhRc2y_EDQOfCGKfG_qw8_bAwsP-HdRwu3hzmU27tabB5YNYOzMVF8hZZvpy31VJMlVIaPd_gBGsTzYmCi3Hgdr2KdVJBeh=s287-w287-h192-n-k-no-v1
Arch Rome SUITES,148 EUR,296 EUR,http://www.archromesuites.it/,4.6,3-star hotel,https://lh5.googleusercontent.com/proxy/0bJ-IZb3aD6MLS1t6MyQLp0MVbWOE2t2ue3Cjj8x7PKJi6pvT_NfbwgqGtghZCzSVeQxBfY2dHGmFSFptPPCLB8CN8qNHOjE8hsBHyrBs9UR4-cLMQ7wI-P3qWzRhcXE2VrRYxk7o7uYyNoYD6cC_MvfE-YB2pE=s287-w287-h192-n-k-no-v1
Shangri-La,110 EUR,221 EUR,https://www.shangrilaroma.it/?utm_source=gbp&utm_medium=organic,4.1,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0DrE1mJ8vAGsfAb1tDJ210kEkWN452xHcRwPsmUXgholbiRth8AIoofqeOs_T3mbeR_XqMfk2uy_1jntyZ-4Wvu4Ohe3Mrw6g4N8x1NMifZYrGiQYQkQezXBp982hOIkouaeG_0eZVtiH=s287-w287-h192-n-k-no-v1
Tiber Suite,60 EUR,121 EUR,https://www.tibervillage.com/?partner=13624&utm_source=google&utm_medium=organic&utm_campaign=MyBusiness,4.5,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLQTbrGTGxY7fFrd3xq8lv6_Eqm7Icox_FKdtvBId74nUxT4vzyyGHkds0Sr6sBJh5HGq8NP86acdZ3eQukm5nwakqU7gNHjrB8R71scOAVQrwTYr-ClsCGFTXNBzvMOOVmdy2=s287-w287-h192-n-k-no-v1
Hotel Valentino Palace,94 EUR,189 EUR,https://www.hotelvalentinopalaceroma.com/,4.1,3-star hotel,https://lh5.googleusercontent.com/proxy/xkaMUt9YifIdXUI4v14IVK1ffreMmuP_mVZPg9nvORnrnjtvs8w1Mq1PXCXPSIsBlvu2-jRGD-JV3PuP-dsKIP2EmiOi618Yfaffn-_JifpfmZ2VtOfTpG7lWSPTWqJYW6zWebHeUw1w3gYAzOx4gHnLRvwZdQ=s287-w287-h192-n-k-no-v1
Everest Inn Rome,98 EUR,196 EUR,http://www.everestinnrome.it/,4,3-star hotel,https://lh5.googleusercontent.com/proxy/P53L9gsTd_jyow4IlrUlCoSxACEMnOg_sTmYeoQxn1xu0rmdxp-aiKVBdexlImPyBhLUTfmAcviaT12gCNoxWvoO1Y2myfrkVGobCwQ9E_GRAtgiMescUSvD7jLtQPx2u6eRg7gQ7a1RtkF-CV5rCKsOHfbmIXg=s287-w287-h192-n-k-no-v1
